anime_id,name,0,1,2,3
32281,Kimi no Na wa.,0.007942590399219676,0.013019218846869188,0.06502242152466367,0.11275964391691394
5114,Fullmetal Alchemist: Brotherhood,0.1871385773009127,0.46001239925604465,0.4828101644245142,0.6658011869436202
28977,Gintama°,0.002717201978680415,0.018598884066955982,0.043348281016442454,0.07640949554896143
9253,Steins;Gate,0.11976590259875984,0.32238065716057035,0.4701046337817638,0.69473293768546
9969,Gintama&#039;,0.014213056503866787,0.09113453192808431,0.08520179372197309,0.11572700296735905
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,0.0016721242945725633,0.007439553626782393,0.030642750373692077,0.08568249258160238
11061,Hunter x Hunter (2011),0.04542604333588797,0.08679479231246125,0.23393124065769805,0.366839762611276
820,Ginga Eiyuu Densetsu,0.003065561206716366,0.053316800991940486,0.005979073243647235,0.02559347181008902
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,0.008708980700898766,0.04773713577185369,0.06801195814648729,0.10089020771513353
15417,Gintama&#039;: Enchousen,0.007872918553612485,0.05765654060756355,0.06651718983557549,0.09272997032640949
4181,Clannad: After Story,0.11537657632550687,0.4172349659020459,0.4730941704035874,0.3928041543026706
28851,Koe no Katachi,0.0,0.0,0.002242152466367713,0.001483679525222552
918,Gintama,0.022364662439908034,0.1407315561066336,0.11584454409566518,0.13241839762611277
2904,Code Geass: Hangyaku no Lelouch R2,0.16289277502961053,0.6367017978921264,0.5,0.5467359050445104
28891,Haikyuu!! Second Season,0.008221277781648436,0.023558586484810913,0.11360239162929746,0.23071216617210683
199,Sen to Chihiro no Kamikakushi,0.15508952832160525,0.5567265964042157,0.17638266068759342,0.4788575667655786
23273,Shigatsu wa Kimi no Uso,0.03149167421444994,0.06819590824550527,0.3475336322869955,0.431379821958457
24701,Mushishi Zoku Shou 2nd Season,0.0021598272138228943,0.03967761934283943,0.02765321375186846,0.0897626112759644
12355,Ookami Kodomo no Ame to Yuki,0.039573608304883996,0.13453192808431494,0.12257100149476831,0.30415430267062316
1575,Code Geass: Hangyaku no Lelouch,0.1878352957569846,0.7005579665220086,0.5306427503736921,0.5775222551928784
263,Hajime no Ippo,0.024524489653730927,0.17668939863608182,0.11210762331838565,0.10756676557863501
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,0.025430223646624398,0.29138251704897705,0.04708520179372197,0.0849406528189911
1,Cowboy Bebop,0.0932209294224204,0.5213887166769994,0.1367713004484305,0.32752225519287836
30276,One Punch Man,0.05406535219117954,0.13205207687538748,0.4013452914798206,0.5708456973293768
164,Mononoke Hime,0.09579878770988644,0.47489150650960943,0.11584454409566518,0.3475519287833828
7311,Suzumiya Haruhi no Shoushitsu,0.03525395387723821,0.2665840049597024,0.19431988041853512,0.2733679525222552
17074,Monogatari Series: Second Season,0.016721242945725634,0.08245505269683819,0.24813153961136025,0.2711424332344214
21939,Mushishi Zoku Shou,0.004319654427645789,0.056416615003099815,0.03662182361733931,0.12277448071216618
457,Mushishi,0.025430223646624398,0.29882207067575944,0.07324364723467862,0.20660237388724034
2001,Tengen Toppa Gurren Lagann,0.11238068696439768,0.5381277123372598,0.37369207772795215,0.4714391691394659
245,Great Teacher Onizuka,0.04716783947606772,0.4283942963422195,0.15396113602391628,0.18323442136498516
5258,Hajime no Ippo: New Challenger,0.015676165261617782,0.1370117792932424,0.08445440956651719,0.08568249258160238
28957,Mushishi Zoku Shou: Suzu no Shizuku,0.0006270466104647113,0.015499070055796652,0.009715994020926755,0.046364985163204746
11665,Natsume Yuujinchou Shi,0.009893402076220999,0.0929944203347799,0.07100149476831091,0.09718100890207715
431,Howl no Ugoku Shiro,0.11070856266982512,0.45443273403595785,0.09865470852017937,0.3438427299703264
11741,Fate/Zero 2nd Season,0.04737685501288929,0.18474891506509608,0.3423019431988042,0.47811572700296734
31757,Kizumonogatari II: Nekketsu-hen,6.967184560719014e-05,0.0012399256044637321,0.0007473841554559044,0.00370919881305638
19,Monster,0.01971713230683481,0.18970861748295104,0.04783258594917788,0.1279673590504451
12365,Bakuman. 3rd Season,0.016790914791332823,0.08121512709237445,0.16292974588938713,0.1865727002967359
1535,Death Note,0.3271093151257577,0.6869187848729076,0.5515695067264574,0.6691394658753709
32366,Gintama°: Aizome Kaori-hen,6.967184560719014e-05,0.0,0.0037369207772795215,0.004821958456973294
30654,Ansatsu Kyoushitsu (TV) 2nd Season,0.00543440395736083,0.012399256044637322,0.1397608370702541,0.13761127596439168
20583,Haikyuu!!,0.028495784853340766,0.04959702417854929,0.17862481315396114,0.34421364985163205
19647,Hajime no Ippo: Rising,0.007315543788754964,0.044637321760694355,0.07249626307922272,0.07381305637982195
4282,Kara no Kyoukai 5: Mujun Rasen,0.008639308855291577,0.2504649721016739,0.06651718983557549,0.15170623145400594
10379,Natsume Yuujinchou San,0.011635198216400753,0.1115933044017359,0.07324364723467862,0.10126112759643917
22135,Ping Pong The Animation,0.006061450567825541,0.03967761934283943,0.026158445440956652,0.13056379821958458
21329,Mushishi Special: Hihamukage,0.0034139204347523166,0.04401735895846249,0.02092675635276532,0.09310089020771513
31043,Boku dake ga Inai Machi,0.026963004249982582,0.07253564786112833,0.26905829596412556,0.4421364985163205
7785,Yojouhan Shinwa Taikei,0.0049467010381104995,0.07253564786112833,0.008968609865470852,0.08753709198813056
3297,Aria The Origination,0.0020204835226085138,0.07997520148791072,0.011210762331838564,0.015949554896142432
